ProductID,ProductName,Price
2001,Product_2001,833
2002,Product_2002,1558
2003,Product_2003,1398
2004,Product_2004,1996
2005,Product_2005,1146
2006,Product_2006,694
2007,Product_2007,156
2008,Product_2008,811
2009,Product_2009,342
2010,Product_2010,1864
2011,Product_2011,881
2012,Product_2012,129
2013,Product_2013,1186
2014,Product_2014,522
2015,Product_2015,214
2016,Product_2016,1105
2017,Product_2017,1688
2018,Product_2018,1164
2019,Product_2019,1548
2020,Product_2020,311
2021,Product_2021,657
2022,Product_2022,1587
2023,Product_2023,1465
2024,Product_2024,1290
2025,Product_2025,941
2026,Product_2026,1299
2027,Product_2027,825
2028,Product_2028,1691
2029,Product_2029,964
2030,Product_2030,225
2031,Product_2031,693
2032,Product_2032,754
2033,Product_2033,1854
2034,Product_2034,13
2035,Product_2035,1051
2036,Product_2036,1641
2037,Product_2037,1351
2038,Product_2038,140
2039,Product_2039,237
2040,Product_2040,1257
2041,Product_2041,725
2042,Product_2042,202
2043,Product_2043,1947
2044,Product_2044,148
2045,Product_2045,207
2046,Product_2046,619
2047,Product_2047,255
2048,Product_2048,1270
2049,Product_2049,1904
2050,Product_2050,1079
2051,Product_2051,529
2052,Product_2052,1691
2053,Product_2053,1746
2054,Product_2054,620
2055,Product_2055,834
2056,Product_2056,1158
2057,Product_2057,1152
2058,Product_2058,1767
2059,Product_2059,1278
2060,Product_2060,103
2061,Product_2061,1595
2062,Product_2062,1837
2063,Product_2063,794
2064,Product_2064,742
2065,Product_2065,13
2066,Product_2066,1664
2067,Product_2067,832
2068,Product_2068,1395
2069,Product_2069,597
2070,Product_2070,1863
2071,Product_2071,317
2072,Product_2072,1042
2073,Product_2073,355
2074,Product_2074,485
2075,Product_2075,667
2076,Product_2076,861
2077,Product_2077,538
2078,Product_2078,333
2079,Product_2079,705
2080,Product_2080,707
2081,Product_2081,1421
2082,Product_2082,500
2083,Product_2083,1040
2084,Product_2084,1179
2085,Product_2085,574
2086,Product_2086,1796
2087,Product_2087,767
2088,Product_2088,201
2089,Product_2089,1466
2090,Product_2090,1662
2091,Product_2091,563
2092,Product_2092,1034
2093,Product_2093,915
2094,Product_2094,404
2095,Product_2095,1627
2096,Product_2096,958
2097,Product_2097,521
2098,Product_2098,1617
2099,Product_2099,1674
2100,Product_2100,1995
2101,Product_2101,1847
2102,Product_2102,252
2103,Product_2103,1029
2104,Product_2104,1680
2105,Product_2105,1284
2106,Product_2106,1435
2107,Product_2107,21
2108,Product_2108,318
2109,Product_2109,1382
2110,Product_2110,1017
2111,Product_2111,313
2112,Product_2112,1937
2113,Product_2113,458
2114,Product_2114,986
2115,Product_2115,1585
2116,Product_2116,1160
2117,Product_2117,1427
2118,Product_2118,328
2119,Product_2119,541
2120,Product_2120,59
2121,Product_2121,397
2122,Product_2122,216
2123,Product_2123,1584
2124,Product_2124,1315
2125,Product_2125,1552
2126,Product_2126,919
2127,Product_2127,94
2128,Product_2128,28
2129,Product_2129,1770
2130,Product_2130,1193
2131,Product_2131,784
2132,Product_2132,1422
2133,Product_2133,75
2134,Product_2134,686
2135,Product_2135,1815
2136,Product_2136,887
2137,Product_2137,704
2138,Product_2138,1203
2139,Product_2139,720
2140,Product_2140,365
2141,Product_2141,1599
2142,Product_2142,634
2143,Product_2143,1956
2144,Product_2144,1284
2145,Product_2145,1337
2146,Product_2146,1074
2147,Product_2147,1374
2148,Product_2148,774
2149,Product_2149,115
2150,Product_2150,1500
2151,Product_2151,418
2152,Product_2152,251
2153,Product_2153,656
2154,Product_2154,1195
2155,Product_2155,1792
2156,Product_2156,541
2157,Product_2157,654
2158,Product_2158,1690
2159,Product_2159,582
2160,Product_2160,413
2161,Product_2161,667
2162,Product_2162,978
2163,Product_2163,85
2164,Product_2164,1260
2165,Product_2165,733
2166,Product_2166,1607
2167,Product_2167,61
2168,Product_2168,1775
2169,Product_2169,430
2170,Product_2170,1145
2171,Product_2171,76
2172,Product_2172,445
2173,Product_2173,1750
2174,Product_2174,244
2175,Product_2175,44
2176,Product_2176,1407
2177,Product_2177,1766
2178,Product_2178,1426
2179,Product_2179,154
2180,Product_2180,1880
2181,Product_2181,244
2182,Product_2182,991
2183,Product_2183,215
2184,Product_2184,1565
2185,Product_2185,791
2186,Product_2186,1266
2187,Product_2187,866
2188,Product_2188,861
2189,Product_2189,1620
2190,Product_2190,1755
2191,Product_2191,609
2192,Product_2192,868
2193,Product_2193,1281
2194,Product_2194,1907
2195,Product_2195,1015
2196,Product_2196,826
2197,Product_2197,1222
2198,Product_2198,554
2199,Product_2199,1923
2200,Product_2200,330
