CustomerID,CustomerName,Country
1001,Customer_1001,India
1002,Customer_1002,Germany
1003,Customer_1003,USA
1004,Customer_1004,Germany
1005,Customer_1005,USA
1006,Customer_1006,India
1007,Customer_1007,Germany
1008,Customer_1008,UK
1009,Customer_1009,Canada
1010,Customer_1010,UK
1011,Customer_1011,Germany
1012,Customer_1012,Canada
1013,Customer_1013,USA
1014,Customer_1014,UK
1015,Customer_1015,India
1016,Customer_1016,India
1017,Customer_1017,India
1018,Customer_1018,USA
1019,Customer_1019,UK
1020,Customer_1020,Germany
1021,Customer_1021,Canada
1022,Customer_1022,Australia
1023,Customer_1023,Germany
1024,Customer_1024,India
1025,Customer_1025,Canada
1026,Customer_1026,UK
1027,Customer_1027,USA
1028,Customer_1028,UK
1029,Customer_1029,Canada
1030,Customer_1030,USA
1031,Customer_1031,UK
1032,Customer_1032,USA
1033,Customer_1033,UK
1034,Customer_1034,USA
1035,Customer_1035,Germany
1036,Customer_1036,Canada
1037,Customer_1037,Canada
1038,Customer_1038,Australia
1039,Customer_1039,USA
1040,Customer_1040,Canada
1041,Customer_1041,USA
1042,Customer_1042,UK
1043,Customer_1043,India
1044,Customer_1044,Canada
1045,Customer_1045,Australia
1046,Customer_1046,Canada
1047,Customer_1047,Australia
1048,Customer_1048,India
1049,Customer_1049,USA
1050,Customer_1050,India
1051,Customer_1051,India
1052,Customer_1052,USA
1053,Customer_1053,USA
1054,Customer_1054,Germany
1055,Customer_1055,Germany
1056,Customer_1056,Canada
1057,Customer_1057,USA
1058,Customer_1058,USA
1059,Customer_1059,Canada
1060,Customer_1060,UK
1061,Customer_1061,India
1062,Customer_1062,Canada
1063,Customer_1063,Canada
1064,Customer_1064,India
1065,Customer_1065,UK
1066,Customer_1066,Germany
1067,Customer_1067,USA
1068,Customer_1068,Australia
1069,Customer_1069,Canada
1070,Customer_1070,India
1071,Customer_1071,Germany
1072,Customer_1072,Canada
1073,Customer_1073,Australia
1074,Customer_1074,Australia
1075,Customer_1075,USA
1076,Customer_1076,Australia
1077,Customer_1077,UK
1078,Customer_1078,India
1079,Customer_1079,Canada
1080,Customer_1080,USA
1081,Customer_1081,India
1082,Customer_1082,Germany
1083,Customer_1083,USA
1084,Customer_1084,Australia
1085,Customer_1085,UK
1086,Customer_1086,Germany
1087,Customer_1087,Germany
1088,Customer_1088,Germany
1089,Customer_1089,Australia
1090,Customer_1090,USA
1091,Customer_1091,India
1092,Customer_1092,Canada
1093,Customer_1093,Germany
1094,Customer_1094,India
1095,Customer_1095,Australia
1096,Customer_1096,UK
1097,Customer_1097,Australia
1098,Customer_1098,Germany
1099,Customer_1099,India
1100,Customer_1100,USA
1101,Customer_1101,Australia
1102,Customer_1102,Canada
1103,Customer_1103,Australia
1104,Customer_1104,India
1105,Customer_1105,India
1106,Customer_1106,UK
1107,Customer_1107,Canada
1108,Customer_1108,Canada
1109,Customer_1109,Australia
1110,Customer_1110,Australia
1111,Customer_1111,Australia
1112,Customer_1112,Germany
1113,Customer_1113,Canada
1114,Customer_1114,USA
1115,Customer_1115,Germany
1116,Customer_1116,Germany
1117,Customer_1117,USA
1118,Customer_1118,USA
1119,Customer_1119,UK
1120,Customer_1120,UK
1121,Customer_1121,Canada
1122,Customer_1122,India
1123,Customer_1123,Germany
1124,Customer_1124,Australia
1125,Customer_1125,UK
1126,Customer_1126,UK
1127,Customer_1127,Canada
1128,Customer_1128,UK
1129,Customer_1129,UK
1130,Customer_1130,India
1131,Customer_1131,UK
1132,Customer_1132,Germany
1133,Customer_1133,Germany
1134,Customer_1134,Germany
1135,Customer_1135,Canada
1136,Customer_1136,Australia
1137,Customer_1137,UK
1138,Customer_1138,Germany
1139,Customer_1139,USA
1140,Customer_1140,Canada
1141,Customer_1141,UK
1142,Customer_1142,Canada
1143,Customer_1143,Canada
1144,Customer_1144,Canada
1145,Customer_1145,USA
1146,Customer_1146,UK
1147,Customer_1147,USA
1148,Customer_1148,Germany
1149,Customer_1149,Canada
1150,Customer_1150,Australia
1151,Customer_1151,UK
1152,Customer_1152,UK
1153,Customer_1153,Australia
1154,Customer_1154,Canada
1155,Customer_1155,India
1156,Customer_1156,Germany
1157,Customer_1157,USA
1158,Customer_1158,UK
1159,Customer_1159,Canada
1160,Customer_1160,Canada
1161,Customer_1161,Canada
1162,Customer_1162,UK
1163,Customer_1163,Canada
1164,Customer_1164,USA
1165,Customer_1165,UK
1166,Customer_1166,India
1167,Customer_1167,USA
1168,Customer_1168,India
1169,Customer_1169,Germany
1170,Customer_1170,Germany
1171,Customer_1171,Canada
1172,Customer_1172,India
1173,Customer_1173,India
1174,Customer_1174,Germany
1175,Customer_1175,Germany
1176,Customer_1176,India
1177,Customer_1177,USA
1178,Customer_1178,USA
1179,Customer_1179,Germany
1180,Customer_1180,India
1181,Customer_1181,India
1182,Customer_1182,USA
1183,Customer_1183,Canada
1184,Customer_1184,India
1185,Customer_1185,Australia
1186,Customer_1186,Australia
1187,Customer_1187,UK
1188,Customer_1188,India
1189,Customer_1189,USA
1190,Customer_1190,UK
1191,Customer_1191,Germany
1192,Customer_1192,UK
1193,Customer_1193,UK
1194,Customer_1194,Germany
1195,Customer_1195,UK
1196,Customer_1196,Canada
1197,Customer_1197,Germany
1198,Customer_1198,USA
1199,Customer_1199,USA
1200,Customer_1200,USA
1201,Customer_1201,India
1202,Customer_1202,India
1203,Customer_1203,Australia
1204,Customer_1204,Germany
1205,Customer_1205,Canada
1206,Customer_1206,Germany
1207,Customer_1207,Australia
1208,Customer_1208,USA
1209,Customer_1209,USA
1210,Customer_1210,Australia
1211,Customer_1211,Germany
1212,Customer_1212,Germany
1213,Customer_1213,Germany
1214,Customer_1214,USA
1215,Customer_1215,UK
1216,Customer_1216,Canada
1217,Customer_1217,India
1218,Customer_1218,India
1219,Customer_1219,Germany
1220,Customer_1220,Australia
1221,Customer_1221,India
1222,Customer_1222,UK
1223,Customer_1223,Germany
1224,Customer_1224,Australia
1225,Customer_1225,UK
1226,Customer_1226,Australia
1227,Customer_1227,Germany
1228,Customer_1228,USA
1229,Customer_1229,Canada
1230,Customer_1230,Germany
1231,Customer_1231,Germany
1232,Customer_1232,USA
1233,Customer_1233,Germany
1234,Customer_1234,Canada
1235,Customer_1235,USA
1236,Customer_1236,Australia
1237,Customer_1237,Canada
1238,Customer_1238,Australia
1239,Customer_1239,Germany
1240,Customer_1240,UK
1241,Customer_1241,Germany
1242,Customer_1242,UK
1243,Customer_1243,Germany
1244,Customer_1244,Canada
1245,Customer_1245,USA
1246,Customer_1246,USA
1247,Customer_1247,Canada
1248,Customer_1248,Germany
1249,Customer_1249,India
1250,Customer_1250,USA
1251,Customer_1251,Germany
1252,Customer_1252,Canada
1253,Customer_1253,Canada
1254,Customer_1254,Germany
1255,Customer_1255,UK
1256,Customer_1256,Canada
1257,Customer_1257,USA
1258,Customer_1258,Germany
1259,Customer_1259,Australia
1260,Customer_1260,UK
1261,Customer_1261,Australia
